itemnumber,barcode,isbn,biblionumber,title,author,datelastseen
1024835,BL84427,,473969,"BOB THE BUILDER SPEEDY SKIP, 1 Disc",,2014-02-02
1024837,BL84429,,473971,"Bob The Builder - Skateboard Spud, 1 Disc",,2014-01-11
1024840,"BL84431 ",,473973,"Bob The Builder - Knights Of Can-A-Lot  (1 Disc)",,2014-01-25
1024843,BL84434,,473976,"Bob The Builder - Adventure In Bobland Bay, 1 Disc",,2014-02-02
1024844,BL84435,,473977,"Bob The Builder - Bob's Big Plan, 1 Disc",,2013-12-29
1024845,BL84436,,473978,"Bob The Builder - Project: Build It! - Chip Off The Old Block, 1 Disc",,2014-01-12
1024935,BL84541,,473993,"Chuggington:Let's Ride The Rails, 1 Disc",,2014-01-29
1024962,BL84543,,473999,"Life, 4 Discs",,2014-01-30
1024981,BL84546,,474005,"Gangs Of New York, 2 Discs",,2014-01-28
1025011,BL84549,,474008,"Tune in Tomorrow, 1 Disc",,2014-01-31
1025034,BL84550,,474012,"Yanks, 1 Discs",,2014-01-02
1025039,BL84551,,474014,"Jeremy Clarkson:War Stories, 1 Disc",,2014-01-22
1025043,BL84552,,474015," Judi Dench Collection, 6 Discs",,2014-01-19
1025349,BL84555,,474045,"New Tricks - Series 3, 3 Discs",,2014-01-07
1025389,BL84558,,474051,"New Tricks: Series 2, 3 Discs",,2014-01-21
1025397,BL84559,,474052,"Very Annie Mary, 1 Disc",,2014-01-16
1025422,BL84560,,474053,"Dennis And Gnasher - Masters Of Mayhem, 1 Disc",,2014-01-19
1025477,BL84438,,474064,"Bob The Builder - Project: Build It! - Super Speedy Benny, 1 DVD",,2014-01-12
1025487,BL84561,,474068,"Tales Of Mrs Tiggy Winkle and Mr.Jeremy Fisher and other stories, 1 Disc ",,2014-01-22
1025490,BL84441,,474070,"Bob the Builder Bob's Top Team, 1 Disc",,2014-02-02
1025527,BL84525,,474078,"Balamory - Musical Stories, Disc 1",,2014-01-18
1025532,BL84564,,474079,"Whistleblower, 1 Disc",,2014-02-02
1025541,BL84527,,474083,"Dont Be Afraid Of The Dark, Disc 1",,2013-10-31
1025544,BL84443,,474084,"Fireman Sam - Towering Inferno, 1 Disc",,2014-01-12
1025561,BL84531,,474092,"Wuthering Heights DVD Juliette Binoche, Ralph Fiennes, Janet McTeer, Sophie War, Disc 1",,2014-01-16
1025563,BL84444,,474091,"Fireman Sam - Let it Snow,1 Disc",,2014-01-18
1025568,BL84532,,474097,"Unconditional Love, Disc 1",,2014-01-30
1025584,BL84448,,474103,"Fireman Sam - The Big Freeze,1 Disc",,2013-12-26
1025596,BL84450,,474106,"Fireman Sam - The New Hero Next Door, 1 Disc",,2014-01-23
1025599,BL84452,,474107,"Fireman Sam - Red Alert, 1 Disc ",,2014-01-19
1025601,BL84535,,474108,"Life In The Freezer, Disc 1",,2013-03-22
1025605,BL84454,,474084,"Fireman Sam - Towering Inferno, 1 Disc",,2014-01-12
1025611,BL84456,,474111,"Fireman Sam - Sticky Situation, 1 Disc",,2014-02-02
1025612,BL84537,,474112,"Life In The Undergrowth, Disc 2",,2014-01-19
1025617,BL84457,,474113,"Fireman Sam - Triple Pack, 3 Disc",,2014-01-19
1025627,BL84466,,474114,"Peppa Pig Triple Pack - Peppa's Christmas, Princess Peppa, Sir George the Brave and The Fire Engine, 3 Disc",,2014-02-02
1025632,bl84538,,474115,"George Bernard Shaw Collection, Disc 8",,2014-01-21
1025633,BL84458,,474116,"Peppa Pig - Cold Winter Day,  1 Disc",,2013-12-26
1025634,BL84459,,474117,"Peppa Pig Muddly Puddles / Flying A Kite / New Shoes, 3 Discs",,2014-01-05
1025635,BL84460,,474118,"Peppa Pig - Potato City, 1 Disc",,2014-01-29
1025638,BL84461,,474119,"Peppa Pig - New Shoes And Other Stories, 1 Disc",,2014-02-01
1025646,BL84465,,474117,"Peppa Pig Muddly Puddles / Flying A Kite / New Shoes, 3 Discs",,2014-01-19
1025652,BL84463,,474122,"Peppa Pig - Piggy In Middle, Birthday Party and Bubbles",,2014-02-01
1025654,BL84540,,474123,"Stranger Than Fiction, Disc 1",,2014-01-11
1025694,BL84468,,474138,"Dora The Explorer - Dance To The Rescue, 1 DVD",,2014-01-21
