itemnumber,barcode,isbn,biblionumber,title,author,datelastseen
13755,BL81944,0330250493,13454,"All creatures great and small : Vol 1, 2, 3 (Disc 1, 2, 3)","HERRIOT, JAMES",2014-01-10
13757,BL202271,,13456,"Reader Rabbit 2nd grade (CD-ROM) ages 6-8",,2014-01-02
13759,BL80484,0470844914,13458,"The sixth sense (Disc 1, Disc2)","Marshall, Frank",2014-01-21
13774,BL81383,,13474,"Sense And Sensibility.",,2014-01-10
13777,BL82749,,13477,Sleuth,"Michael Caine and Jude Law",2014-01-08
13796,BL82734,,13497,"Brief Encounter",,2013-12-27
13808,BL80144,,13508,"Tarka The Otter",,2013-12-18
13816,BL80735,,13516,"The Hound Of The Baskervilles",,2013-12-18
13817,BL82203,,13516,"The Hound Of The Baskervilles",,2014-01-21
13818,BL82194,,13517,"A Little Princess",,2014-02-02
13820,BL80106,,13519,"Black Beauty",,2014-01-21
13832,BL80006,,13529,"The Full Monty",,2013-12-18
13833,BL81991,,13530,"Bean: The Ultimate Disaster Movie","Universal Pictures",2014-01-10
13838,BL82739,,13534,"Great Expectations",,2014-01-18
13839,BL82200,,13535,"The Good Life(2 disc)","Davies John Howard",2013-12-27
13840,BL80017,,13536,"The English Patient",,2013-12-18
13843,BL8002,,13539,Evita,1996,2013-12-18
13852,BL81670,,13547,"The Planets- Disc 1, Disc 2","SAXE, MARK",2014-01-10
13853,BL80499,,13548,"Walking With The Beasts: The Complete Series, Disc 1, Disc 2",,2013-12-18
13864,BL80595,,13559,"Norman Wisdom",,2013-12-18
13865,BL80631,,13559,"Norman Wisdom",,2013-12-18
13866,BL80594,,13560,"Norman Wisdom: double bill Disc 1-The Square Peg(86 mins), Disc 2-Follow A Star(90 mins)","STEWART, HUGH",2013-12-18
13870,BL80630,,13561,"Norman Wisdom double bill: Disc 1-The Early Bird (94 mins), Disc 2- Press For Time(98 mins)","STEWART, HUGH",2013-12-18
13873,BL80632,,13563,"Norman Wisdom. Disc 1-Man Of The Moment(85 mins), Disc 2-On The Beat(101 mins)","STEWART, HUGH",2013-12-18
13883,BL82119,,13572,"Blackadder: The Complete All Four Series. The Blackadder1-3, Goes Forth, Chrismas carol, Back and forth (6 disc)",,2013-12-16
13884,BL80606,,13573,"The Blue Planet A Natural History Of The Ocean, Disc 1, Disc 2, Disc 3","HOLMES, MARTHA",2013-12-18
13885,BL82252,,13573,"The Blue Planet A Natural History Of The Ocean, Disc 1, Disc 2, Disc 3","HOLMES, MARTHA",2013-12-17
13886,BL80603,,13574,"Trials Of Life: The Complete Series, Disc 1, Disc 2, Disc 3","SMART, KEENAN",2013-12-18
13893,BL80165,5037115032232,13581,"Doctor in trouble","Box, Betty E.",2013-12-18
13912,BL80480,,13598,"Doctor in Distress","Box, Betty E.",2013-12-18
13913,BL81013,,13598,"Doctor in Distress","Box, Betty E.",2014-01-04
13915,BL81012,,13599,"Doctor in Clover","Box, Betty E.",2013-12-18
13930,BL80223,,13612,"Carry on Jack","Rogers, Peter",2013-12-18
13931,BL80227,,13613,"Bright Young Things","Carter, Gina",2013-12-18
13932,BL80231,,13614,"The Man in the Iron Mask(D1+D2+D3)","Wallace, Randall",2013-12-18
13936,BL80238,,13618,"Dr. StrangeLove Or: How I learned to stop worrying and love the bomb","Kubrick, Stanley",2014-01-21
13939,BL81015,,13619,"Doctor at Large","BOS, BETTY E.",2013-12-18
13940,BL82145,,13619,"Doctor at Large","BOS, BETTY E.",2014-01-07
