borrowernumber,module_bit,code
275540,13,batch_upload_patron_images
278050,13,batch_upload_patron_images
278050,6,place_holds
278051,13,batch_upload_patron_images
278051,6,place_holds
278902,13,batch_upload_patron_images
286672,13,stage_marc_import
286672,11,period_manage
286672,11,planning_manage
286672,11,vendors_manage
286672,15,create_subscription
286672,15,delete_subscription
286672,13,view_system_logs
286672,15,edit_subscription
286672,15,receive_serials
286672,9,edit_catalogue
286672,11,order_receive
286672,9,edit_items
286672,11,order_manage
286672,11,budget_modify
286672,11,budget_manage
286672,13,manage_staged_marc
286672,13,label_creator
286672,13,inventory
286672,13,export_catalog
286672,13,edit_notices
286672,13,edit_notice_status_triggers
286672,13,edit_news
286672,13,edit_calendar
286672,11,budget_add_del
286673,13,edit_news
286673,13,edit_notice_status_triggers
286673,15,edit_subscription
286673,13,edit_calendar
286673,13,label_creator
286673,13,view_system_logs
286673,11,budget_add_del
286673,11,budget_manage
286673,11,budget_modify
286673,11,period_manage
286673,11,vendors_manage
286673,11,order_manage
286673,11,order_receive
286673,13,edit_notices
286673,11,planning_manage
286673,9,edit_items
286673,9,edit_catalogue
286673,15,receive_serials
286673,15,delete_subscription
286673,13,inventory
286673,15,create_subscription
286673,15,check_expiration
286673,13,stage_marc_import
286675,13,edit_notice_status_triggers
286675,13,edit_news
286675,13,edit_calendar
286675,13,inventory
286675,13,label_creator
286675,13,manage_staged_marc
286675,13,view_system_logs
286675,15,check_expiration
286675,15,create_subscription
286675,15,delete_subscription
286675,15,edit_subscription
286675,15,receive_serials
286675,15,renew_subscription
286675,9,edit_catalogue
286675,9,edit_items
286675,13,edit_notices
286675,13,stage_marc_import
290176,13,import_patrons
290176,13,export_catalog
290176,13,edit_notice_status_triggers
290176,13,batch_upload_patron_images
290176,13,inventory
291312,13,label_creator
291312,13,items_batchmod
291312,13,items_batchdel
291312,13,manage_csv_profiles
291312,13,manage_staged_marc
291312,13,inventory
291312,13,moderate_comments
291312,13,rotating_collections
291312,13,moderate_tags
291312,13,schedule_tasks
291312,13,view_system_logs
291312,13,stage_marc_import
291312,13,export_catalog
291312,13,edit_notices
291312,13,edit_notice_status_triggers
291312,13,edit_news
291312,13,edit_calendar
291312,13,import_patrons
291700,13,batch_upload_patron_images
291753,6,place_holds
291753,13,batch_upload_patron_images
291781,6,place_holds
291781,13,batch_upload_patron_images
292500,15,receive_serials
292500,15,claim_serials
292500,6,place_holds
292500,9,edit_items
292500,15,check_expiration
292500,9,edit_catalogue
292508,13,batch_upload_patron_images
292508,13,import_patrons
292508,13,view_system_logs
292508,13,export_catalog
292508,13,edit_news
292508,13,edit_calendar
292509,13,items_batchmod
292509,13,batch_upload_patron_images
293203,1,circulate_remaining_permissions
302305,13,rotating_collections
302305,13,export_catalog
302305,13,items_batchmod
302305,13,manage_csv_profiles
302305,13,view_system_logs
302305,13,inventory
302305,13,import_patrons
302305,13,batch_upload_patron_images
302305,6,place_holds
302305,13,label_creator
302897,6,place_holds
