itemnumber,barcode,isbn,biblionumber,title,author,datelastseen
965808,BL83766,,445483,"Fifty Dead Men Walking, 1 Disc",,2013-04-21
965895,BL83781,,445856,"The Battle Of The Sexes, 1 Disc",,2013-08-23
966768,BL83790,,446728,"Sex And Drugs And Rock And Roll, 1 Disc",,2013-05-07
967061,BL83796,,446782,"Zodiac, 1 Disc",,2013-01-27
967856,BL83811,,446855,"Bedknobs and Broomsticks, 1 Disc",,2013-09-05
967873,BL83813,,446856,"Legend of the Guardians, 1 Disc",,2013-09-06
967916,BL83818,,446862,"Monster House, 1 Disc",,2013-05-25
967964,BL83824,,446868,"Bicentennial Man, 1 Disc",,2013-08-28
968070,BL83831,,446877,"Hellboy II - The Golden Army, 2 Discs",,2013-09-29
972964,BL83138,,185692,Avatar,,2013-05-24
978762,bl82033,,14230,"Scrubs(4 discs, 3rd series)","Bill Lawrence",2013-03-20
983272,BL83853,5050582531862,452466,"Postman Pat Clowns Around ",,2013-12-14
983487,BL83866,5014437888433,452499,"Dora The Explorer:Dora's Christmas, 1 Disc",,2012-04-18
983525,BL83870,5014437888433,452499,"Dora The Explorer:Dora's Christmas, 1 Disc",,2013-06-22
984707,BL83885,,452632,"Horrid Henry: Gets Rich Quick and other 5 adventures, 1 Disc",,2013-09-26
984806,BL83895,,452667,"Rushmore, 1 Disc",,2013-07-10
984815,BL83897,,452674,"Limitless, 1 Disc",,2013-10-10
984873,BL83908,,452702,"Dragonheart , 1 Disc",,2013-07-03
984875,BL83941,,452703,"Hotel Rwanda,1 Disc",,2013-12-15
984938,BL83959,,452716,"Chloe, 1 Disc",,2013-08-24
985190,BL83977,,452772,"Rock n Rolla, 1 Disc ",,2013-09-25
985536,BL84026,,452822,"United 93,1 Disc",,2013-03-28
985604,BL84057,,452845,"The World Is Not Enough, 2 Discs",,2013-09-25
985932,BL84074,,452965,"Barney:Let's go to the Fair, 1 Dis",,2013-09-27
985968," BL84077",,452981,"Tinker Bell And The Lost Treasure ,1 Disc",,2011-12-15
986087,BL84098,,453027,"Barney : Songs from the Park, 1 Disc",,2013-02-03
986107,BL84111,,453038,"Barney :Riff's Clubhouse,1 Disc",,2013-03-23
986223,BL84118,,453065,"Feast of July, 1 Disc",,2013-07-16
986566,BL84120,,453152,"Barney: Dino-mite Birthday, 1 Disc",,2013-12-05
986586,BL84124,,453157,"Noddy: Noddy and The New Taxi, 1 Disc",,2013-12-14
986599,BL84128,,453161,"Noddy:Hold On To Your Hat, 1 Disc",,2012-03-27
986742,BL84156,,453199,"Dora The Explorer :Super Silly Fiesta, 1 Disc",,2013-05-14
986744,BL84157,,453200,"Fireman Sam:Snow Business, 1 Disc",,2013-08-13
986752,BL84160,,453204,"Fifi And The Flowertots, 1 Disc",,2013-09-29
987396,BL84166,,453323,"Noddy:Catch A Falling Star,1 Disc",,2013-08-18
987451,BL84172,,453334,"Dora The Explorer: Egg Hunt, 1 Disc",,2013-05-11
987528,BL84175,,453346,"Noddy: Tricks, Treats, Mischief and Magic, 1 Disc",,2013-06-04
987542,BL84178,,453356,"Dora The Explorer:It's A Party, 1 Disc",,2013-06-22
987594,BL84185,,454060,"Noddy And The Treasure Map, 1 Disc",,2013-06-02
999825,,,459978,"Bird Bath:Happy Hatchday, Disc 1",,2012-04-03
999856,BL84209,,460024,"Antichrist, Disc 1",,2013-01-06
999859,"BL 84253",,460026,"Big, Disc 1",,2012-04-04
999868,BL84212,,460028,"Robin hood, Disc 1",,2013-09-21
999871,"BL 84254",,460029,"Oliver Twist, Disc 1",,2012-04-04
1000003,,,460074,"Absent - Minded Professor,Disc 1",,2012-04-04
1000027,BL84238,,460078,"One day, Disc 1",,2013-05-15
1000151,BL84273,,460103,"Lassie,Disc 1",,2013-02-06
1000185,BL84277,,460112,"Narnia,Disc 2",,2013-08-25
1000189,BL84290,,460116,"Sherlock Holmes And The Case Of The Silk Stocking ,Disc 1",,2013-10-01
1000226,BL84292,,460128,"Rise of the Planet of the Apes,Disc 1",,2013-02-06
1001023,bl84304,,460247,"RUPERT AND THE SNOWGLOBE/POSTMAN PAT'S MAGIC CHRISTMAS,Disc 2             ",,2013-09-29
1003222,BL84269,,240910,"Mr. Bean:Eight Eventful Ezcapades, 1 Disc",,2013-03-13
1024079,BL84370,,473827,"Christmas Carol, 1 Disc",,2012-11-30
1024312,BL84379,,473871,"How Not To Live Your Life - Series 1,2 Disc",,2013-08-25
1024346,BL84381,,473878,"Fantastic Four,2 Disc",,2013-07-25
1024527,BL84390,,473890,"THOMAS & FRIENDS COMPLETE SERIES 10, 1 Disc",,2013-11-24
1024735,BL84394,,473911,"Thomas And Friends - It's Great to be an Engine, Disc 1",,2013-06-19
1024743,BL84399,,473917,"THOMAS & FRIENDS THE COMPLETE SERIES 12 - SPECIAL EDITION DVD",,2013-05-11
1024745,BL84400,,473918,"Thomas And Friends - Christmas Express",,2013-12-03
1024758,BL84360,,473925,"THOMAS & FRIENDS - CARNIVAL CAPERS",,2013-08-11
1024829,BL84423,,473964,"BOB THE BUILDER SPEEDY SKIP BRAND, 1 Disc",,2013-03-02
1024836,BL84428,,473970,"Bob The Builder - Bob's White Christmas And Other Stories, 1 Disc",,2013-12-07
1024842,BL84433,,473975,"Bob The Builder - Radio Bob, 1 Disc",,2013-05-14
1024963,BL84544,,474000,"Wallace And Gromit : A Matter Of Loaf And Death, 1 Disc",,2013-12-14
1025343,BL84554,,474043," League of Gentlemen's Apocalypse,1 Disc",,2013-08-11
1025360,BL84556,,474048,"How Not To Live Your Life - Series 2, 2 Discs",,2013-07-06
1025484,BL84439,,474067,"Bob the builder Spud's bumper harvest, 1 Disc",,2013-06-05
1025530,BL84526,,474080,"Fantastic Four: Rise of the Silver Surfer, 1 Disc",,2013-05-30
1025548,BL84529,,474086,"Balamory - Dancing Party, Disc 1",,2013-06-22
1025573,BL84533,,474100,"Life and Death of Colonel Blimp, Disc 1",,2013-09-26
1025576,BL84447,,474101,"Fireman Sam - Fun Run, 1 Disc",,2013-06-05
1025693,BL84467,,474137,"Dora The Explorer - Super Silly Fiesta, 1 Disc",,2013-11-09
1025887,BL84588,,474187,"How Not To Live Your Life - Series 3, Disc 2",,2013-08-24
1025888,BL84589,,474188,"Wallace And Gromit - World Of Invention, Disc 1",,2013-07-27
1025981,BL84472,,474200,"Teletubbies 10 Happy Birthday, 1 Disc",,2013-05-11
1026486," BL84625",,475026,"Scrooge, 1 Disc",,2012-09-07
1026684,BL84492,,475049,"Noddy's Family Tree DVD, 1 Disc",,2013-05-14
1026703,,,475057,"Bobinogs - Sounds Sensational & Other Stories, 1 Disc",,2012-09-09
1026954,BL84646,,475211,"Terminator :Salvation,1 Disc",,2013-05-30
1026984,BL84649,,475223,"Kung Fu Panda, Disc 1",,2013-05-26
1026997,,,475221,"Angelina Ballerina, Disc 1",,2012-09-12
1027063,BL84663,,475248,"Thunder Birds, 1 Disc",,2013-06-15
1027458,BL84711,,475364,"X-Files - I Want To Believe, 2 Discs ",,2013-08-03
1028639,BL84719,,476285,"Libertine, 1 Disc",,2013-12-14
1028649,BL84723,,476293,"Top Gear - The Challenges Vol.4, 2 Discs",,2013-06-06
1028678,BL84731,,476318,"Third Man, 2 Disc",,2013-10-31
1029366,BL84759,,476521,"Topgear: Winter Olympics, 1 Disc ",,2013-04-19
1029370,BL84760,,476522,"Melancholia, 1 Disc",,2013-11-26
1029374,BL84752,,476524,"Nil By Mouth, 1 Disc",,2013-09-25
1029392,BL84765,,476540,"Survivors:Series- 3, 3 Discs  ",,2013-07-03
1029600,BL84774,,445364,"Cranford, 2 Discs",,2013-12-14
1029621,BL84777,,476567,"Sorry:Series- 1, 1 Disc",,2013-10-12
1030093,BL84785,,477736,"Judge John Deed - Series 5, 2 Discs",,2013-11-16
1030190," BL84790",,460203,"Go-Between - Julie Christie, Alan Bates,Disc 1",,2012-10-09
1030288,BL84802,,477798,"Perfect Spy, 3 Discs ",,2013-09-26
1030941,BL84825,,477930,"Colditz :The Complete Collection, 10 Discs",,2013-10-17
1036621,BL84895,,467488,"Cars 2 (DVD)",,2013-05-26
1036627,BL84899,,463959,"Chuggington - Action Stations (DVD)","Ball,Sarah",2013-10-09
1036660,BL84969,,464021,"Jeremy Clarkson - Top 100 Cars (DVD)",,2013-08-02
1036693,BL84956,,464013,"Incredible Human Journey (DVD)",,2013-09-25
1036727,BL84921,,26656,"The veteran","Forsyth Frederick",2013-08-03
1036835,BL84870,,474690,"Carnage ","Polanski,Roman",2013-09-14
1037668,BL84880,,474714,"Man on a Ledge","Leth,Asger",2013-01-06
1037761,BL84954,,479063,"Wallace and Gromit :A Grand Day Out, 1 Disc",,2013-02-16
1037950,BL84896,,51468,"Nine Months","Chris Columbus",2013-10-11
1037970,BL85040,,463977,"Cliff Richard - The Collection (DVD)",,2013-06-02
1037971,BL85041,,92064,"Cliff Richard - World Tour ",,2013-06-11
1037972,BL85042,,240114,"Cliff Richard Live in the Park : 20 of his all time greatest hits",,2013-05-23
1037979,BL85047,1405879351,408369,"Sense and sensibility ( cd rom processed)","Jane Austen",2013-09-25
1038302,BL84976,,463968,"Chuggington: Chug-A-Sonic! (DVD)","Ball,Sarah",2013-11-10
1038307,BL85054,,464062,"Wuthering Heights (TV 1998) (dvd)","Skynner,David",2013-09-25
1038322,BL84984,,142173,"The Office",,2013-12-05
1040040,BL84945,,463969,"Clarkson - Duel (DVD)","Klein,Brian",2013-07-25
1058981,BL85076,,491725,"Attack the Block 2 Disc.",,2013-08-29
1059011,DRA/MIS,,491732,"Miss Julie ,1Disc,Directed byMike Figgis Starring	 Saffron Burrows, Peter Mullan, Maria Doyle Kennedy, Heathcote Williams, Tom Dean Burn, Eileen Walsh, Sue Maund, Andrea Ollson, Sarah Li Gustafsson, Flora Bradwell",,2013-04-16
1059016,ANI/CHI,,491736,"Chicken Run,1Disc,Directed by Peter Lord, Nick ",,2013-04-16
1059058,BL85089,,491745,"Death at a Funeral ,1Disc,",,2013-12-10
1059118,BL85094,,491751,"Business.1 Disc.",,2013-09-14
1059266,807.27,,491766,"West Is West,1Disc,Distrubuted by	 Andy DeEmmony starring	 Aqib Khan, Om Puri, Linda Bassett, Robert Pugh, Thomas Russell, Jimi Mistry, Vanessa Hehir, John Branwell, Yograj Singh, Vijay Raaz, Karamjit Anmol, Sanjeev Attari",,2013-04-17
1059292,BL85114,,491771,"Flushed Away ,1Disc,",,2013-06-08
1059383,BL85134,,491791,"Andrew Marr's History of the World, 3 Discs ,",,2013-09-21
1059386,BL85136,,491792,"Concert for George (Blue Ray),2Discs ,",,2013-04-17
1059390,BL85135,,491793,"Africa,3Discs,",,2013-07-23
1059446,BL85141,,491800,"Deep Blue Sea,1Disc,",,2013-04-18
1059469,,,491820,"Tyrannosaur,1 Disc,Directed by  Paddy Considine 	 Peter Mullan, Olivia Colman, Eddie Marsan, Paul Popplewell, Ned Dennehy, Samuel Bottomley, Sally Carman, Sian Breckin, Paul Conway, Lee Rufford",,2013-04-18
1059532,BL85157,,491828,"Guard,1 Disc, ",,2013-08-17
1059610,,,491840,"Sherlock: Series 1.2 Discs ,Directsd by Poul Mc Guigan Starring 	 Benedict Cumberbatch, Martin Freeman, Rupert Graves, Una Stubbs, Zoe Telford, Louise Brealey, Vinette Robinson, Mark Gatiss",,2013-04-18
1059631,BL85171,,491843,"Frozen Planet,3Discs,",,2013-04-18
1059747,BL85176,,491855,"Tinker Tailor Soldier Spy,1Disc,",,2013-08-10
1059807,BL85179,,491867,"Shaun the Sheep ,1discs,.",,2013-04-20
1059815,BL85180,,491871,"Shaun the Sheep: Off the Baa!,1 Disc,",,2013-04-20
1059822,BL85181,,491872,"Arthur Christmas,1Disc,",,2013-04-20
1059827,BL85186,,491877,"It's a Free World,1Disc,",,2013-09-20
1059843,BL85193,,491884,"Harry Potter:The Order  Of The Phoenix/Half BloodPrince,2 Disc,",,2013-08-21
1060380,BL85199,,491972,"4.3.2.1 ,1Disc,DirecterNoel Clarke, Mark Davis Starring	 Emma Roberts, Noel Clarke, Tamsin Egerton, Ophelia Lovibond, Shanika Warren-Markland, Mandy Patinkin, Helen McCrory, Michelle Ryan, Ben Drew, Eve, Adam Deacon, Linzey Cocker",,2013-05-04
1078920,BL85148,,460076,"Tyrannosaur,Disc 1",,2013-08-11
1081353,bl85133,,492914,"Around The World in 80 Treasures",,2013-08-25
1100396,bl85072,,474723,"Prometheus ","Scott,Ridley",2013-12-10
1100671,bl85297,,510840,"The World of Lee Evans (dvd)","""Evans,Lee""",2013-12-11
1101174,,,251963,"Anita and Me (DVD)",,2013-12-15
