Item Type	Biblio Number	Barcode	Accession Date	Last Seen Date	Issue Date	Title	Author									
BK	79772	CH10809	2011-04-03	2011-04-03	2011-01-01	You can win : Winner's donot do different things : They do things differently	Shiv Khera									
BK	91815	CH48737	2011-04-03	2011-04-03	2011-01-01	Microsoft SQL Server 2008 Administrator's Pocket Consultant	William R. Stanek									
BK	84982	CH38736	2011-04-03	2011-04-03	2011-01-09	Rachel's Favourite Food at Home	Rachel Allen									
BK	88446	CH44373	2011-04-03	2011-04-03	2011-01-11	Manage Your Mind:The Mental Fitness Guide	Gillian Butler									
BK	91851	CH49153	2011-04-03	2011-04-03	2011-01-15	Two States : The story of my marriage										
BK	80807	CH39739	2011-04-03	2011-04-03	2011-01-28	How to be a People Person	Marianna Csoti									
BK	90455	CH41532	2011-04-03	2011-04-03	2011-01-28	IQ and Personality tests	Philip J. Carter									
BK	81860	CH45349	2011-04-03	2011-04-03	2011-01-29	The Food Bible: The Ultimate Reference Book for Food and Your Health	Judith Wills									
BK	85415	CH16454	2011-04-03	2011-04-03	2011-01-31	Introduction to bioinformatics	Arthur M. Lesk									
BK	82959	CH29773	2011-04-03	2011-04-03	2011-02-07	Amrita										
BK	85289	CH37648	2011-04-03	2011-04-03	2011-02-07	The Algebra Of Infinite Justice	Arundhati Roy									
BK	88782	CH43535	2011-04-03	2011-04-03	2011-02-07	The Palace of Illusions	Chitra Lekha									
BK	90432	CH10389	2011-04-03	2011-04-03	2011-02-09	An area of darkness	V S Naipaul									
BK	90428	CH34083	2011-04-03	2011-04-03	2011-02-09	The Girl Who Played Go	Shan Sa									
BK	87670	CH10959	2011-04-03	2011-04-03	2011-02-11	Modern car technology : From ABS to VVT current and future systems explained	Jeff Daniels									
BK	88980	CH41522	2011-04-03	2011-04-03	2011-02-11	Car buying and maintenance										
BK	86184	CH13990	2011-04-03	2011-04-03	2011-02-20	Progress in English Grammar Book 1 : Gram Practice for LISE Prep Turkey	Chris Barker and Gulay Kiratli									
BK	84190	CH14334	2011-04-03	2011-04-03	2011-02-21	A suitable boy	Vikram Seth									
BK	88204	CH46966	2011-04-03	2011-04-03	2011-02-21	The Great Indian Novel	Shashi Tharoor									
BK	80433	CH49079	2011-04-03	2011-04-03	2011-02-23	Sherlock Holmes: The Complete Novels and Stories: Vol 1	Sir Arthur Conan Doyle									
BK	83912	CH30668	2011-04-03	2011-04-03	2011-02-28	An End to suffering : The buddha in the world										
BK	88710	CH43536	2011-04-03	2011-04-03	2011-03-07	Cold Steel	Tim Bouquet and Byron Ousey									
BK	90022	CH40313	2011-04-03	2011-04-03	2011-03-14	Six O'Clock Tales	Enid Blyton									
BK	88550	CH15932	2011-04-03	2011-04-03	2011-03-17	Calculus : A complete course	Ross L Finney	 Franklin D Demana	 Bert K Waits							
BK	87818	CH38419	2011-04-03	2011-04-03	2011-03-17	Little Book of the Olympics	Jon Stroud									
BK	83959	CH27639	2011-04-03	2011-04-03	2011-03-21	Dreams and their interpretation made easy	Francis A Menezes									
BK	91773	CH50518	2011-04-03	2011-04-03	2011-03-21	Stop in the Name of Pants!	Louise Rennison									
BK	88804	CH51670	2011-04-03	2011-04-03	2011-03-22	And Thereby Hangs A Tale	Jeffrey Archer									
BK	81918	CH32315	2011-04-03	2011-04-03	2011-03-23	The anti-ageing plan	Vicci Bentley									
BK	82451	CH45401	2011-04-03	2011-04-03	2011-03-23	50 Great Curries of India	Camellia Panjabi									
BK	89930	CH36570	2011-04-03	2011-04-03	2011-03-29	Harry Potter and the Deathly Hallows										
BK	88772	CH43623	2011-04-03	2011-04-03	2011-03-29	A Prisoner of birth	Jeffrey Archer									
BK	89420	CH53676	2011-04-03	2011-04-03	2011-03-29	The Fifth Elephant	Terry Pratchett									
BK	89593	CH53745	2011-04-03	2011-04-03	2011-03-29	Necrophenia	Robert Rankin									
BK	81644	CH35804	2011-04-03	2011-04-03	2011-03-30	Meet the love of your life	Jan Yager									
BK	83791	CH46562	2011-04-03	2011-04-03	2011-03-30	Body Language: 7 Easy Lessons to Master the Silent Language	James Borg									
BK	82150	CH46571	2011-04-03	2011-04-03	2011-03-30	Body Language	Susan Quilliam									
BK	84189	CH22055	2011-04-03	2011-04-03	2011-03-31	The Way of Zen										
BK	81706	CH28260	2011-04-03	2011-04-03	2011-04-01	The complete curtain book										
BK	87413	CH38540	2011-04-03	2011-04-03	2011-04-02	How to Write a CV That Works	Paul McGee									
BK	89643	CH41440	2011-04-03	2011-04-03	2011-04-02	How To get things done	Ann Jackman									
BK	82214	CH50473	2011-04-03	2011-04-09	2011-04-09	A New Science of Life	Rupert Sheldrake									
BK	84305	CH14371	2011-04-03	2011-04-11	2011-04-11	God's mischief	M Mukundan									
BK	86707	CH39726	2011-04-03	2011-04-11	2011-04-11	Quality Management Essentials	David Hoyle									
BK	83115	CH12442	2011-04-03	2011-04-11	2011-04-11	How to get a Phd: A handbook for students and their supervisors	Estelle M Phillips and D S Pugh									
BK	91633	CH53353	2011-04-03	2011-04-11	2011-04-11	I Wish I Knew That: Cool Stuff You Need to Know										
BK	82448	CH49560	2011-04-03	2011-04-11	2011-04-11	Triathlon: Start to Finish	Murphy	 Sam								
BK	91883	CH51096	2011-04-03	2011-04-26	2011-04-26	Microeconomics	Robert S. Pindyck	 Daniel L. Rubinfeld								
BK	91883	CH51096	2011-04-03	2011-04-26	2011-04-26	Microeconomics	Robert S. Pindyck	 Daniel L. Rubinfeld								
BK	86319	CH31634	2011-04-03	2011-04-26	2011-04-26	Kotler on marketing: How to create	 win and dominate markets	Philip Kotler								
BK	91725	CH50513	2011-04-03	2011-04-27	2011-04-27	Shopaholic and Sister	Sophie Kinsella									
BK	84128	CH45159	2011-04-03	2011-04-27	2011-04-27	The Witch of Portbello	Paulo Coelho									
BK	80661	CH50307	2011-04-03	2011-04-28	2011-04-28	Fat-burner Foods: Eat Yourself Slimmer in Fourteen Days	Dr. Caroline Shreeve									
BK	82217	CH50389	2011-04-03	2011-04-28	2011-04-28	365: Modern History: From World War Two to the World Wide Web: Great Stories from Modern History for Every Day of the Year	Gerard Cheshire	 John Farndon								
BK	83191	CH35539	2011-04-03	2011-05-07	2011-05-07	Introduction To Calculus And Analysis	Richard Courant									
BK	87394	CH38690	2011-04-03	2011-05-07	2011-05-07	Edexcel: A2 Chemistry	Facer	 George								
BK	82212	CH45369	2011-04-03	2011-05-14	2011-05-14	366: More Great Stories from History for Every Day of the Year	Marsh	 W.B.								
BK	83383	CH22670	2011-04-03	2011-05-14	2011-05-14	Theory of Structures										
BK	83338	CH29498	2011-04-03	2011-05-16	2011-05-16	Turbines Compressors and Fans : Second Edition										
BK	84529	CH16205	2011-04-03	2011-05-20	2011-05-20	A Cultural History Of India	Edited by A L Basham									
BK	80997	CH45541	2011-04-03	2011-05-25	2011-05-25	How to Market Books: The Essential Guide to Maximizing Profit and Exploiting All Channels to Market	Alison Baverstock									
BK	80247	CH30910	2011-04-03	2011-05-26	2011-05-26	The art of electronics	Paul Horowitz	 Winfield Hill								
BK	83673	CH50074	2011-04-03	2011-05-26	2011-05-26	The Language of Physics: A Foundation for University Study	John Cullerne	 Anton Machacek								
BK	89715	CH1954	2011-04-03	2011-05-30	2011-05-30	My early life : A roving commission										
BK	88952	CH41457	2011-04-03	2011-06-03	2011-06-03	Your Guide To Asthma	Richard Beasley									
BK	84580	CH43265	2011-04-03	2011-06-08	2011-06-08	When we were bad	Charlotte Mendelson.									
